Japanese,English
の,of
に,On
する,do
は,teeth
を,of
が,but
と,and
年,Year
で,and
だ,is
月,Month
も,and
から,from
日,Day
成る,Become
こと,matter
有る,Have
よる,evening
や,or
など,Such
言う,To tell
日本,Japan
為,In addition
この,this
人,Man
その,the
まで,to
もの,thing
へ,fart
又,or
これ,this
行う,conduct
よう,So
出来る,Be ready
駅,station
国,Country
より,Than
大学,University
現在,the current
後,rear
か,mosquito
線,line
ぬ,Lantern
放送,broadcast
号,issue
軍,army
無い,No
部,Department
持つ,Hold
所,Place
名,given name
回,times
世界,world
時,Time
戦,War
時代,Era
東京,Tokyo
おく,back
でも,but
呼ぶ,Call
その後,after that
会,Meeting
それ,that
機,Machine
会う,meet
受ける,receive
多い,many
選手,player
場合,case
対する,Make
しかし,but
つく,arrive
昭和,Showa
作品,the work
地,Land
中,During ~
使用,use
共に,both
学校,school
語,word
彼,he
行く,go
アメリカ,America
当時,at that time
番組,program
車,car
社,Shrine
川,river
映画,movie
位,Position
見る,look
テレビ,tv set
系,system
研究,the study
町,town
東,east
存在,Existence
活動,Activity
発売,Release
他,other